name,place_id,city
SD Negeri 1 Mambal,ChIJAQj4Nzk80i0R1j7gN-SSOFM,Badung Regency
SD No. 1 Mekar Bhuana,ChIJU7xRTQ9XBAURlknYjY_N_jA,Badung Regency
SD No. 3 Mekar Bhuwana,ChIJNxvJATY80i0R7Pj-pntDtD0,Badung Regency
SD No.2 Mekar Bhuana,ChIJv7YmHmg90i0RCSUxbvEgCoY,Badung Regency
SD No. 4 Mekar Bhuana,ChIJU7xRTQ9XBAURd1IzDy2mojE,Badung Regency
SD No. 4 Sibangkaja,ChIJobXZ_C090i0R2AUYWpPUktc,Badung Regency
SD No 3 Sibangkaja,ChIJfSA6dRU80i0RvVPUBWQsAiA,Badung Regency
SD No. 2 Lukluk,ChIJZxlRJao-0i0R3RHD-cCB8Tc,Badung Regency
SD. No.2 Sedang.,ChIJt6OxU0Q80i0RVODpD76hpJk,Badung Regency
Pertamina,ChIJvfy58co90i0RkbYtY0pd__U,Badung Regency
SPBU Darmasaba,ChIJSwY6Kus-0i0Rd3OcHqN5j8Q,Badung Regency
Pertamina Gas Station 54.803.01,ChIJlz9Nbyo_0i0Rhz8YXIvW_eo,Badung Regency
SPBU Latu Abiansemal,ChIJF7jojUE80i0R36mcWvfq9j4,Badung Regency
Pertamina Lukluk,ChIJHfKP5DQ50i0Rr9RRYnDNZ-8,Badung Regency
Pertamina gas station 54.803.08,ChIJz-m3JFE50i0RbPVaGq_sDrc,Badung Regency
SPBU Pertamina 54.803.19,ChIJ3b-NryZH0i0RtmOlXCUnne8,Badung Regency
Pertamina Gas Station,ChIJE82Fflw40i0R15Y1AimBHK8,Badung Regency
SPBU 54.803.11 Abianbase,ChIJ5bVjriQ50i0RwKoROjE8E1Y,Badung Regency
Pertamina,ChIJf64QNac50i0RYIzSkEkeP-4,Badung Regency
PERTAMINA,ChIJfY1pckU80i0R4200LutOMyo,Badung Regency
SPBU GERANA SANGEH,ChIJyW4LSEAj0i0R9mmNu_E0RSU,Badung Regency
Pertamina,ChIJe0ETKus-0i0RWwkECiZRcfs,Badung Regency
SPBU Kerobokan,ChIJn_23zLs40i0RUuxafH5zgtM,Badung Regency
SPBU Sayan Baleran,ChIJGyK3Rw870i0Rkh63gndTuNc,Badung Regency
PERTAMINA,ChIJac8eCgQ80i0RNGuIBzx4gME,Badung Regency
SPBU 54.803.39 Darmasaba,ChIJGxuk56I_0i0R3GszwfqhVZM,Badung Regency
SPBU Sigaran,ChIJ_akQ7so90i0Rl6eNWNN50Zw,Badung Regency
SPBU Pertamina,ChIJcVmNOCQ80i0RPUxtI8NrIxE,Badung Regency
SPBU 54.803.22 DALUNG Pertamina,ChIJM3AX6cY40i0R7ZgqVD0SDwQ,Badung Regency
Pertamina Mengwi Belayu Gas Station 54.803.14,ChIJOV33tm870i0R4rECis8Kzww,Badung Regency
Pertashop Desa Taman Abiansemal Badung,ChIJqwl8N4Ij0i0Rk7kG6cO1u9M,Badung Regency
SPBU Pertamina,ChIJv1Zf5TdH0i0RE6p5aiC3ULI,Badung Regency
